kind,M,N,method,option,estimate,variance,ci_width
price,50,1000,MC,call,6.75423170982506,75.39149293418856,1.0763344447818781
price,50,1000,MC,digital,0.2950154421987464,0.1994617688427324,0.05536252635804262
delta,50,1000,malliavin_A,call,0.716797722131317,17.86585635770042,0.5239598220617376
delta,50,1000,malliavin_A,digital,-0.003910728416705709,0.02995836269472464,0.021455819362406477
delta,50,1000,malliavin_B,call,0.6997010599422925,2.5797659873129177,0.19910227539494674
delta,50,1000,malliavin_B,digital,0.0044277084080954114,0.0008837583152558878,0.0036851300893656486
delta,50,1000,FD_eps_1.0,call,0.6509596502765612,0.2745152049973722,0.06494852150797281
delta,50,1000,FD_eps_1.0,digital,0.00824878703516232,0.028920137057221407,0.021080758859113372
price,50,3000,MC,call,6.5332528269519266,70.43130125614982,0.6006317639570575
price,50,3000,MC,digital,0.2969563332658435,0.20006357126717442,0.032011752329001
delta,50,3000,malliavin_A,call,0.5969143553698424,15.291110548967415,0.2798626574706797
delta,50,3000,malliavin_A,digital,0.0016278236139173625,0.030962739641816336,0.012593461827895808
delta,50,3000,malliavin_B,call,0.6219487848191753,1.9364700896809095,0.09959346361763699
delta,50,3000,malliavin_B,digital,0.004189615149836024,0.0008698413458728811,0.002110792114919661
delta,50,3000,FD_eps_1.0,call,0.6418467870987076,0.2745808050332584,0.037502526503615075
delta,50,3000,FD_eps_1.0,digital,0.005499191356774879,0.02964522344347323,0.012322612838758223
price,50,5000,MC,call,6.583767664068906,72.09291235480534,0.47070341583822817
price,50,5000,MC,digital,0.299867669866489,0.20112484641565834,0.024861877805031463
delta,50,5000,malliavin_A,call,0.6430068040513253,15.698542620544988,0.2196497599927405
delta,50,5000,malliavin_A,digital,0.0027956997541444422,0.032781604006106226,0.010037282897272853
delta,50,5000,malliavin_B,call,0.635359488769073,2.170348280219828,0.08167060647891633
delta,50,5000,malliavin_B,digital,0.004426305532049716,0.0008739830515541124,0.001638900434035034
delta,50,5000,FD_eps_1.0,call,0.6447564108677587,0.2749582189291628,0.02906928955221666
delta,50,5000,FD_eps_1.0,digital,0.005240405881161944,0.028607901547471334,0.009376571423916777
price,50,7000,MC,call,6.5834739443306,73.64165354894874,0.40206735489299916
price,50,7000,MC,digital,0.2980654138756132,0.20044189320820838,0.020976416375793505
delta,50,7000,malliavin_A,call,0.710821747008879,16.924560778772612,0.19275060524304877
delta,50,7000,malliavin_A,digital,0.003081019511082702,0.033034903703983834,0.008515763066865195
