M,epsilon,option,estimate,variance,ci_width
50,0.25,call,0.6401734781080292,0.28231540290515034,0.009222916266286685
50,0.25,digital,0.005708503138520636,0.11741329234266583,0.0059478445848044036
50,0.5,call,0.640106232710714,0.2795937187391955,0.009178351468488
50,0.5,digital,0.006241296764782561,0.05864705277907668,0.004203626053368324
50,1.0,call,0.6398194246182438,0.2741689370308709,0.009088874425007276
50,1.0,digital,0.005851215716983651,0.02960884418405096,0.002986838262981739
50,2.0,call,0.6391915223920149,0.26347995557256476,0.008909939800098465
50,2.0,digital,0.005109110308975969,0.014797745562053025,0.002111537296150356
50,5.0,call,0.6343693190202497,0.23258664360467102,0.00837130884451942
50,5.0,digital,0.004726640598695087,0.005439999830102744,0.001280266618902598
150,0.25,call,0.5847044964589962,0.2870436464981187,0.009299828682323374
150,0.25,digital,0.006964373828995177,0.11392570586948084,0.0058588427664694655
150,0.5,call,0.584749824626923,0.28436387704355937,0.009256316423364774
150,0.5,digital,0.007459110767666964,0.05693146523726605,0.004141685901455136
150,1.0,call,0.5846802064959056,0.2790706825172674,0.009169762474561027
150,1.0,digital,0.007059515547970519,0.028203652260544845,0.0029151013236903287
150,2.0,call,0.5842380653511791,0.26854789383249433,0.008995221341147053
150,2.0,digital,0.006450608546528319,0.014105908457236119,0.0020615862525757388
150,5.0,call,0.5805347155063334,0.23656568164024178,0.008442612376064806
150,5.0,digital,0.006749353544110899,0.005238217289712103,0.0012562981892865043
250,0.25,call,0.5758178402415028,0.28678985758227943,0.009295716563159306
250,0.25,digital,0.010884212650779344,0.11348641424878728,0.005847536159404275
250,0.5,call,0.5757556287027658,0.2840630008617477,0.00925141822348996
250,0.5,digital,0.008638868082961229,0.05739259782318647,0.004158425454259294
250,1.0,call,0.5755244561076921,0.27864430445017835,0.009162754787301663
250,1.0,digital,0.00870546728624397,0.028560879767475993,0.0029335045722932752
250,2.0,call,0.5748423073139913,0.2676118811688974,0.008979531420144848
250,2.0,digital,0.00920020422491576,0.014097498581264632,0.0020609716069585025
250,5.0,call,0.5712364204655669,0.23540713052950488,0.008421913678680726
250,5.0,digital,0.0080775319410067,0.00517272764791496,0.0012484201948542847
