M,type,method,option,estimate,variance,std_error,ci_low,ci_high
50,price,MC,call,6.420826989239221,71.08595680695097,0.03733419733076328,6.347651962470925,6.494002016007517
50,price,MC,digital,0.30793568763559814,0.20401442524939417,0.0020000707107568315,0.30401554904251477,0.3118558262286815
50,delta,malliavin_A,call,0.6344334413557805,15.33034980291584,0.01733767845401513,0.6004515915859109,0.6684152911256501
50,delta,malliavin_A,digital,0.0049826630244087485,0.035206788547327374,0.0008308605100752457,0.0033541764246612666,0.00661114962415623
50,delta,malliavin_B,call,0.6185067612974063,2.0921572480766257,0.006404895872592884,0.6059531653871243,0.6310603572076884
50,delta,malliavin_B,digital,0.0049587767336849295,0.0008856876301510231,0.0001317817290849088,0.0047004845446785085,0.0052170689226913505
50,delta,FD_eps_0.25,call,0.6401734781080292,0.28231540290515034,0.0023527847618078253,0.6355620199748858,0.6447849362411725
50,delta,FD_eps_0.25,digital,0.005708503138520636,0.11741329234266583,0.0015173072920419395,0.0027345808461184348,0.008682425430922838
50,delta,FD_eps_0.5,call,0.640106232710714,0.2795937187391955,0.0023414161909408398,0.63551705697647,0.644695408444958
50,delta,FD_eps_0.5,digital,0.006241296764782561,0.05864705277907668,0.0010723535850429395,0.0041394837380983995,0.008343109791466723
50,delta,FD_eps_1.0,call,0.6398194246182438,0.2741689370308709,0.002318590414542688,0.6352749874057402,0.6443638618307475
50,delta,FD_eps_1.0,digital,0.005851215716983651,0.02960884418405096,0.0007619485364749336,0.004357796585492782,0.007344634848474521
50,delta,FD_eps_2.0,call,0.6391915223920149,0.26347995557256476,0.0022729438265557157,0.6347365524919657,0.6436464922920642
50,delta,FD_eps_2.0,digital,0.005109110308975969,0.014797745562053025,0.0005386574735077437,0.004053341660900791,0.006164878957051147
50,delta,FD_eps_5.0,call,0.6343693190202497,0.23258664360467102,0.0021355379705406785,0.63018366459799,0.6385549734425094
50,delta,FD_eps_5.0,digital,0.004726640598695087,0.005439999830102744,0.00032659862727107096,0.004086507289243788,0.005366773908146386
150,price,MC,call,5.63170475638659,63.22799487171134,0.03521029118493162,5.562692585664124,5.700716927109056
150,price,MC,digital,0.2933980329761656,0.1986482999640599,0.001973591828412766,0.2895297929924766,0.29726627295985464
150,delta,malliavin_A,call,0.5896383639678936,36.550021904294375,0.02677063869545579,0.5371679121248003,0.6421088158109869
150,delta,malliavin_A,digital,0.0064403315666638865,0.10608425658903761,0.0014422494453214913,0.0036135226538337637,0.009267140479494009
150,delta,malliavin_B,call,0.5805767356152723,1.931112953244251,0.006153451053476767,0.5685159715504579,0.5926374996800868
150,delta,malliavin_B,digital,0.007335788889138045,0.0009539084199076739,0.00013676288482207573,0.0070677336348867765,0.007603844143389313
150,delta,FD_eps_0.25,call,0.5847044964589962,0.2870436464981187,0.002372405276102875,0.5800545821178346,0.5893544108001579
150,delta,FD_eps_0.25,digital,0.006964373828995177,0.11392570586948084,0.001494602746548333,0.004034952445760444,0.00989379521222991
150,delta,FD_eps_0.5,call,0.584749824626923,0.28436387704355937,0.0023613052100420547,0.5801216664152407,0.5893779828386054
